PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Jonas Valančiūnas,DEN,Center,C,4.0 ,199,"$10,395,000 ","$8,420,615 ","($1,974,385)"
Clint Capela,HOU,Center,C,4.0 ,201,"$6,700,000 ","$8,420,615 ","$1,720,615 "
Moritz Wagner,ORL,Center,C,4.0 ,202,"$5,000,000 ","$8,420,615 ","$3,420,615 "
Chris Boucher,BOS,Big,PF,3.9 ,203,"$2,296,274 ","$8,011,144 ","$5,714,870 "
Tim Hardaway Jr.,DEN,Wing,SF,3.9 ,204,"$2,296,274 ","$8,011,144 ","$5,714,870 "
Malcolm Brogdon,NYK,Combo,PG,3.9 ,205,"$2,296,274 ","$8,011,144 ","$5,714,870 "
Robert Williams III,POR,Big,C,3.9 ,206,"$13,285,713 ","$8,011,144 ","($5,274,569)"
Jordan Clarkson,NYK,Combo,SG,3.9 ,207,"$2,296,274 ","$7,612,887 ","$5,316,613 "
Bilal Coulibaly,WAS,Wing,SF,3.9 ,208,"$7,275,600 ","$7,612,887 ","$337,287 "
Julian Champagnie,SAS,Wing,SF,3.9 ,209,"$3,000,000 ","$7,612,887 ","$4,612,887 "
Kelly Olynyk,SAS,Big,C,3.8 ,210,"$13,445,122 ","$7,225,985 ","($6,219,137)"
Dylan Harper,SAS,Combo,PG,3.8 ,211,"$12,370,320 ","$7,225,985 ","($5,144,335)"
Dean Wade,CLE,Forward,PF,3.8 ,212,"$6,623,456 ","$7,225,985 ","$602,529 "
Kon Knueppel,CHA,Wing,SG,3.8 ,213,"$10,015,680 ","$7,225,985 ","($2,789,695)"
Ayo Dosunmu,CHI,Wing,SG,3.8 ,214,"$7,518,518 ","$7,225,985 ","($292,533)"
Bogdan Bogdanović,LAC,Wing,SG,3.8 ,215,"$16,020,000 ","$7,225,985 ","($8,794,015)"
Justin Champagnie,WAS,Forward,SF,3.8 ,216,"$2,349,578 ","$7,225,985 ","$4,876,407 "
Ochai Agbaji,TOR,Wing,SG,3.8 ,217,"$6,383,525 ","$7,225,985 ","$842,460 "
AJ Green,MIL,Wing,SG,3.7 ,218,"$2,301,587 ","$6,850,557 ","$4,548,970 "
VJ Edgecombe,PHI,Combo,SG,3.7 ,219,"$11,108,880 ","$6,850,557 ","($4,258,323)"
Jaylin Williams,OKC,Center,C,3.7 ,220,"$8,450,704 ","$6,850,557 ","($1,600,147)"
Kevon Looney,NOP,Center,C,3.7 ,221,"$8,000,000 ","$6,486,704 ","($1,513,296)"
Gradey Dick,TOR,Wing,SF,3.7 ,222,"$4,990,560 ","$6,486,704 ","$1,496,144 "
Max Christie,DAL,Wing,SG,3.7 ,223,"$7,714,286 ","$6,486,704 ","($1,227,582)"
Jalen Smith,CHI,Center,C,3.7 ,224,"$9,000,000 ","$6,486,704 ","($2,513,296)"
De'Anthony Melton,GSW,Combo,SG,3.7 ,225,"$2,296,274 ","$6,486,704 ","$4,190,430 "
Alex Sarr,WAS,Center,C,3.6 ,226,"$11,808,240 ","$6,134,502 ","($5,673,738)"
Day'Ron Sharpe,BKN,Center,C,3.6 ,227,"$5,769,231 ","$6,134,502 ","$365,271 "
Zach Collins,CHI,Center,C,3.6 ,228,"$18,080,496 ","$6,134,502 ","($11,945,994)"
Taurean Prince,MIL,Wing,SF,3.6 ,229,"$3,303,774 ","$6,134,502 ","$2,830,728 "
Larry Nance Jr.,CLE,Big,C,3.6 ,230,"$2,296,274 ","$6,134,502 ","$3,838,228 "
Isaac Okoro,CHI,Forward,SF,3.6 ,231,"$11,000,000 ","$6,134,502 ","($4,865,498)"
Jusuf Nurkić,UTA,Center,C,3.5 ,232,"$19,375,000 ","$5,794,011 ","($13,580,989)"
Scoot Henderson,POR,Point,PG,3.5 ,233,"$10,748,040 ","$5,794,011 ","($4,954,029)"
Ziaire Williams,BKN,Wing,SF,3.5 ,234,"$5,769,231 ","$5,794,011 ","$24,780 "
Jake LaRavia,LAL,Forward,SF,3.5 ,235,"$6,000,000 ","$5,794,011 ","($205,989)"
Gary Payton II,GSW,Wing,SG,3.5 ,236,"$2,296,274 ","$5,794,011 ","$3,497,737 "
Isaiah Stewart,DET,Center,C,3.5 ,237,"$15,000,000 ","$5,794,011 ","($9,205,989)"
Keyonte George,UTA,Combo,SG,3.5 ,238,"$4,278,960 ","$5,794,011 ","$1,515,051 "
Kenrich Williams,OKC,Big,PF,3.5 ,239,"$7,163,000 ","$5,465,267 ","($1,697,733)"
Haywood Highsmith,BKN,Forward,PF,3.5 ,240,"$5,616,000 ","$5,465,267 ","($150,733)"
Spencer Dinwiddie,CHA,Combo,PG,3.5 ,241,"$2,296,274 ","$5,465,267 ","$3,168,993 "
Jay Huff,IND,Center,C,3.5 ,242,"$2,349,578 ","$5,465,267 ","$3,115,689 "
Danté Exum,DAL,Combo,SG,3.5 ,243,"$2,296,274 ","$5,465,267 ","$3,168,993 "
Cam Whitmore,WAS,Forward,SF,3.5 ,244,"$3,539,760 ","$5,465,267 ","$1,925,507 "
Tre Johnson,WAS,Wing,SG,3.4 ,245,"$8,237,640 ","$5,148,282 ","($3,089,358)"
Cole Anthony,MIL,Point,PG,3.4 ,246,"$2,296,274 ","$5,148,282 ","$2,852,008 "
Grant Williams,CHA,Big,PF,3.4 ,247,"$13,645,500 ","$5,148,282 ","($8,497,218)"
Quinten Post,GSW,Center,C,3.4 ,248,"$1,955,377 ","$5,148,282 ","$3,192,905 "
Kyle Filipowski,UTA,Big,C,3.3 ,249,"$3,000,000 ","$4,843,050 ","$1,843,050 "
Matas Buzelis,CHI,Forward,PF,3.3 ,250,"$5,455,560 ","$4,843,050 ","($612,510)"
Ace Bailey,UTA,Wing,SF,3.3 ,251,"$9,069,840 ","$4,843,050 ","($4,226,790)"
Paul Reed,DET,Center,C,3.3 ,252,"$5,335,894 ","$4,843,050 ","($492,844)"
